REGISTRATION_DATE,REGISTRATION_STATE_CGNDE,PURCHASE_COUNT_DELIVERY,FIRST_PURCHASE,LAST_PURCHASE,CUSTOMER_ID,MISC_PURCHASES,HOME_PURCHASES,COSMETICS_PURCHASES,FASHION_PURCHASES,PURCHASE_TOTAL_EUR,DISTINCT_PURCHASE_COUNT,PREFERRED_DEVICE,IOS_PURCHASES,WEB_PURCHASES,ANDROID_PURCHASES,HAS_VALID_PAYMENT_METHOD,MOST_COMMON_HOUR_OF_THE_DAY_TO_PURCHASE,MOST_COMMON_WEEKDAY_TO_PURCHASE,AVG_DAYS_BETWEEN_PURCHASES,AVERAGE_DELIVERY_DISTANCE_KMS
2021-09-01,BER,,,,1,,,,,,,ios,,,,False,,,,
2021-09-01,FRA,1.0,2022-09-02 00:00:00,2022-09-02 00:00:00,2,0.0,1.0,0.0,0.0,38.456,1.0,android,0.0,0.0,1.0,False,23.0,2.0,,6.853
2021-09-01,BER,19.0,2021-12-10 00:00:00,2022-05-25 00:00:00,3,0.0,4.0,1.0,14.0,631.488,9.0,android,0.0,19.0,0.0,True,21.0,2.0,9.0,6.559
2021-09-01,FRA,,,,4,,,,,,,android,,,,False,,,,
2021-09-01,MUC,,,,5,,,,,,,android,,,,False,,,,
2021-09-01,FRA,,,,6,,,,,,,android,,,,False,,,,
2021-09-01,BER,,,,7,,,,,,,ios,,,,False,,,,
2021-09-01,FRA,1.0,2022-10-14 00:00:00,2022-10-14 00:00:00,8,0.0,0.0,1.0,0.0,19.228,1.0,android,0.0,0.0,1.0,True,5.0,1.0,,1.251
2021-09-01,FRA,,,,9,,,,,,,android,,,,False,,,,
2021-09-01,FRA,,,,10,,,,,,,android,,,,False,,,,
2021-09-01,FRA,,,,11,,,,,,,ios,,,,True,,,,
2021-09-01,FRA,,,,12,,,,,,,android,,,,False,,,,
2021-09-01,FRA,19.0,2022-04-18 00:00:00,2022-10-27 00:00:00,13,0.0,8.0,0.0,11.0,587.972,3.0,ios,19.0,0.0,0.0,True,7.0,3.0,11.0,3.303
2021-09-01,FRA,2.0,2022-08-21 00:00:00,2022-09-09 00:00:00,14,0.0,1.0,1.0,0.0,118.404,1.0,ios,0.0,0.0,2.0,False,5.0,6.0,19.0,1.382
2021-09-01,FRA,,,,15,,,,,,,android,,,,False,,,,
2021-09-01,FRA,2.0,2022-05-18 00:00:00,2022-07-06 00:00:00,16,0.0,2.0,0.0,0.0,107.272,1.0,ios,2.0,0.0,0.0,False,0.0,1.0,49.0,4.619
2021-09-01,FRA,5.0,2021-12-05 00:00:00,2022-10-31 00:00:00,17,0.0,5.0,0.0,2.0,284.372,6.0,android,0.0,0.0,7.0,True,10.0,1.0,55.0,4.903
